시간,종목코드,매수/매도,가격,수량,사유,수익률
2025-09-01 11:55:10,441270,매수,12310,27,"RSI:25.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:55:11,097230,매수,21550,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:55:25,097230,매도,21600,15,RSI과매수,0.23%
2025-09-01 11:55:29,484590,매수,18140,18,"RSI:38.5, MA돌파, 거래량급증",0.00%
2025-09-01 11:55:35,484590,매도,18150,18,RSI과매수,0.06%
2025-09-01 11:55:35,054540,매수,9520,35,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:55:36,054540,매도,9520,35,RSI과매수,0.00%
2025-09-01 11:55:37,484590,매수,18150,18,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:56:04,441270,매도,12310,27,RSI과매수,0.00%
2025-09-01 11:56:07,484590,매도,18170,18,RSI과매수,0.11%
2025-09-01 11:56:13,484590,매수,18170,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:56:15,441270,매수,12290,27,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:59:31,484590,매도,18060,18,RSI과매수,-0.61%
2025-09-01 11:59:31,064260,매수,8880,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:59:34,064260,매도,8880,37,RSI과매수,0.00%
2025-09-01 11:59:35,484590,매수,18070,18,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:59:35,484590,매도,18080,18,RSI과매수,0.06%
2025-09-01 11:59:39,054540,매수,9560,34,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:59:48,054540,매도,9560,34,RSI과매수,0.00%
